"total_cost","Nclaims","age","gender","agelic","agecar","parking","tkm","nightkm","urbankm","speedkm","cost"
496,1,24.89253936,0,5.46201232,13.57152635,1,5053.398,215.368,48.43030373,3.087922226,496
992.4,2,28.99657769,1,10.92128679,7.362080767,1,3672.537,110.898,21.75512459,5.246591117,496.2
499.41,1,22.92950034,0,3.737166324,20.46817248,1,2833.913,56.466,62.69797273,4.582356621,499.41
501.77,1,24.73100616,1,3.698836413,8.572210815,0,17639.952,1003.9,12.87271076,15.43567692,501.77
505.56,1,31.83572895,1,7.885010267,14.06433949,0,6179.931,155.816,13.063641,3.632014662,505.56
510.59,1,23.12936345,1,4.717316906,13.30869268,0,8225.698,336.351,21.41477842,8.549657427,510.59
512.15,1,32.03011636,0,8.030116359,7.362080767,1,7046.216,452.186,24.96098615,5.566264219,512.15
1030.75,2,26.23408624,0,4.703627652,10.00136893,0,11950.921,1216.097,12.60643427,0.726437736,515.375
518.79,1,27.27720739,0,7.400410678,6.529774127,1,3321.671,229.054,80.65859021,0.122348059,518.79
1050.43,2,32.3394935,1,9.757700205,6.776180698,1,10624.391,947.853,23.89123292,5.756602896,525.215
526.35,1,24.50102669,1,6.403832991,4.501026694,1,6327.082,147.064,11.54630207,0.682289245,526.35
526.98,1,22.88295688,1,4.854209446,5.776865161,1,3984.401,174.866,49.9899985,1.553834566,526.98
528.29,1,24.75564682,1,5.661875428,13.7412731,0,6563.69,430.4,36.24787277,17.74826355,528.29
529.69,1,24.93908282,0,5.659137577,11.36755647,1,10358.227,1116.563,22.99383862,7.352223503,529.69
1065.94,2,26.07802875,0,3.822039699,18.39835729,1,17751.59,4291.752,14.52879996,21.85039199,532.97
534.93,1,22.54346338,0,3.564681725,4.446269678,0,7080.337,1241.712,51.75540373,3.495709314,534.93
1073.25,2,31.22518823,1,10.71868583,12.63244353,0,14528.334,1216.15,39.86806746,5.570342752,536.625
540.66,1,25.99041752,1,5.94661191,2.943189596,1,6158.797,162.865,14.73503673,13.97524549,540.66
542.84,1,24.80766598,0,4.889801506,11.48528405,1,5846.462,262.754,20.26102282,6.768007728,542.84
543.9,1,23.19233402,1,4.525667351,6.362765229,1,6218.192,289.374,7.854437431,13.82216889,543.9
1088,2,25.46201232,0,4.386036961,5.53045859,1,3480.571,94.483,36.8716225,3.266073297,544
1088,2,26.24229979,0,7.898699521,7.446954141,0,12873.132,1407.635,14.57250652,2.544881852,544
1088,2,27.70704997,1,8.832306639,5.11156742,1,35104.916,585.512,5.97672702,31.08452959,544
1090.25,2,23.07460643,0,4.605065024,12.73100616,1,12834.626,1259.333,7.924991348,12.99409893,545.125
545.37,1,31.69883641,0,11.8110883,12.82135524,1,9788.552,4192.462,14.60524498,32.17172468,545.37
1096.81,2,21.70841889,0,2.861054073,6.195756331,1,27466.916,3199.599,23.412603,8.981652691,548.405
1113.3,2,26.99520876,0,7.414099932,11.42505133,0,3989.132,567.191,10.34503245,7.243154651,556.65
1118.74,2,27.84120465,0,5.352498289,4.109514031,1,10390.052,898.149,31.51323016,15.87900619,559.37
1124.69,2,26.36276523,0,4.334017796,2.614647502,1,5387.943,415.157,64.97529762,2.94490866,562.345
1127,2,27.04175222,1,6.71321013,6.447638604,1,13263.597,511.665,21.57041563,11.39510647,563.5
566.03,1,24.21081451,1,4.561259411,5.615331964,1,12277.503,2968.883,17.51399287,17.95435929,566.03
1139.5,2,32.27652293,1,4.251882272,20.46817248,1,2637.384,70.611,12.51922359,0.549028886,569.75
1151.04,2,27.41409993,0,4.257357974,5.53045859,1,6598.003,602.641,47.4283052,5.4814919,575.52
578.7,1,22.78986995,1,2.19301848,9.434633812,1,6554.38,1209.158,35.02422807,4.36341805,578.7
1162.78,2,26.0698152,0,5.46201232,6.529774127,1,14068.062,1397.893,19.58659977,3.53541234,581.39
587.84,1,25.80424367,1,6.340862423,3.529089665,0,8730.636,1131.949,13.2157726,17.55823974,587.84
588.14,1,24.16427105,0,4.199863107,2.447638604,0,8958.393,845.996,10.63167244,21.61269326,588.14
591,1,25.35797399,1,6.830937714,6.691307324,0,15856.758,654.295,11.14499572,30.41543549,591
594.25,1,25.91649555,1,6.253251198,9.223819302,1,21021.577,3108.009,6.760211187,2.162991863,594.25
597.4,1,27.57837098,0,6.95687885,6.195756331,0,10504.303,251.54,27.6482314,3.044999749,597.4
